Date,LongReturn_Net,ShortReturn_Net,LSReturn_Net,BenchmarkReturn,LongTurnover,LongTickers,ShortTickers,Regime_RiskOn,Regime_SGGrowth,VIX,SG_PMI,Label
2006-02-28,0.054507800434826774,-0.006394439392777649,0.04811336104204912,0.030232148121842804,1.0,WIL SP Equity|SCI SP Equity|CICT SP Equity|GENS SP Equity|SGX SP Equity|STM SP Equity,OCBC SP Equity|DFI SP Equity|UOL SP Equity|VMS SP Equity|DBS SP Equity|CIT SP Equity,1.0,1,12.95,51.5,Full
2006-03-31,0.01908200267558319,-0.024128563947294047,-0.005046561271710857,0.021294395563912882,0.3333333333333333,WIL SP Equity|MLT SP Equity|SCI SP Equity|CICT SP Equity|STM SP Equity|KEP SP Equity,OCBC SP Equity|VMS SP Equity|DFI SP Equity|DBS SP Equity|JM SP Equity|CIT SP Equity,1.0,1,12.34,50.8,Full
2006-04-30,0.1289125463489474,-0.028544095593895605,0.10036845075505178,0.06563287452235864,0.3333333333333333,WIL SP Equity|SCI SP Equity|MLT SP Equity|SGX SP Equity|GENS SP Equity|KEP SP Equity,UOL SP Equity|DBS SP Equity|DFI SP Equity|VMS SP Equity|JM SP Equity|CIT SP Equity,1.0,0,11.39,49.6,Full
2006-05-31,-0.09837037827336523,0.05256892721274514,-0.045801451060620085,-0.08038137934735734,0.3333333333333333,WIL SP Equity|SCI SP Equity|CICT SP Equity|GENS SP Equity|SGX SP Equity|HKL SP Equity,STM SP Equity|STE SP Equity|VMS SP Equity|DBS SP Equity|DFI SP Equity|CIT SP Equity,1.0,1,11.59,50.4,Full
2006-06-30,0.040871232448961084,0.015429746798876785,0.05630097924783787,0.0059984723823936865,0.3333333333333333,WIL SP Equity|SCI SP Equity|CICT SP Equity|SGX SP Equity|SIA SP Equity|KEP SP Equity,STM SP Equity|STE SP Equity|DBS SP Equity|VMS SP Equity|DFI SP Equity|CIT SP Equity,0.0,1,16.44,52.3,Full
2006-07-31,-0.02607438806188016,-0.018395281537571303,-0.044469669599451464,0.00519317700523897,0.16666666666666666,WIL SP Equity|SCI SP Equity|CICT SP Equity|SGX SP Equity|SIA SP Equity|HKL SP Equity,STM SP Equity|STE SP Equity|VMS SP Equity|DBS SP Equity|CIT SP Equity|DFI SP Equity,0.0,1,13.08,52.7,Full
2006-08-31,0.06900664634945206,-0.017126902207490035,0.05187974414196202,0.03834531060835967,0.16666666666666666,WIL SP Equity|SCI SP Equity|MLT SP Equity|SGX SP Equity|CICT SP Equity|SIA SP Equity,VMS SP Equity|STM SP Equity|DBS SP Equity|JM SP Equity|DFI SP Equity|CIT SP Equity,0.0,1,14.95,51.0,Full
2006-09-30,0.0025991803542106664,-0.04422397006904748,-0.04162478971483681,0.02701338380585754,0.16666666666666666,WIL SP Equity|SCI SP Equity|SGX SP Equity|MLT SP Equity|CICT SP Equity|KEP SP Equity,OCBC SP Equity|STE SP Equity|DBS SP Equity|VMS SP Equity|CIT SP Equity|DFI SP Equity,1.0,1,12.31,52.3,Full
2006-10-31,0.07744889380312883,-0.05643643508226816,0.021012458720860674,0.059707292675002265,0.16666666666666666,WIL SP Equity|SCI SP Equity|SGX SP Equity|KEP SP Equity|MLT SP Equity|HKL SP Equity,CICT SP Equity|DBS SP Equity|VMS SP Equity|JM SP Equity|CIT SP Equity|DFI SP Equity,1.0,1,11.98,51.7,Full
2006-11-30,0.11146220948361239,-0.02267239472806655,0.08878981475554584,0.05975512121526356,0.16666666666666666,WIL SP Equity|SCI SP Equity|SGX SP Equity|HKL SP Equity|MLT SP Equity|SIA SP Equity,GENS SP Equity|DBS SP Equity|JM SP Equity|VMS SP Equity|CIT SP Equity|DFI SP Equity,1.0,1,11.1,53.4,Full
2006-12-31,0.1339683051590763,-0.048824169130054496,0.0851441360290218,0.12208132531758793,0.0,WIL SP Equity|SCI SP Equity|HKL SP Equity|MLT SP Equity|SIA SP Equity|SGX SP Equity,STE SP Equity|SATS SP Equity|DBS SP Equity|VMS SP Equity|CIT SP Equity|DFI SP Equity,1.0,1,10.91,54.6,Full
