,Mean_IC,IC_Std,t_stat,IR,n_periods,Pct_Positive
Composite,0.0752,0.2363,5.049,0.318,252.0,0.611
Z_VALUE_DY,0.056,0.2156,4.12,0.26,252.0,0.563
Z_VALUE_PE_INV,0.0529,0.2407,3.486,0.22,252.0,0.567
Z_VALUE_BM,0.0444,0.2307,3.056,0.192,252.0,0.579
Z_SIZE_SMALL,0.0322,0.2311,2.209,0.139,252.0,0.563
Z_MOM_12_1,0.035,0.2882,1.927,0.121,252.0,0.556
Z_LIQ_AMIHUD,0.0189,0.2241,1.299,0.084,238.0,0.5
Z_QUALITY_ROE,0.0139,0.2388,0.925,0.058,252.0,0.544
Z_MOM_6_1,0.016,0.2828,0.9,0.057,252.0,0.524
Z_MOM_3_1,0.0139,0.2718,0.81,0.051,252.0,0.563
