,Mean_IC,IC_Std,t_stat,IR,Pct_Positive,n_periods
Composite,0.0778,0.2372,5.205,0.328,0.623,252.0
Z_VALUE_DY,0.056,0.2156,4.12,0.26,0.563,252.0
Z_VALUE_PE_INV,0.0529,0.2407,3.486,0.22,0.567,252.0
Z_VALUE_BM,0.0444,0.2307,3.056,0.192,0.579,252.0
Z_SIZE_SMALL,0.0322,0.2311,2.209,0.139,0.563,252.0
Z_MOM_12_1,0.0384,0.2907,2.096,0.132,0.563,252.0
Z_LIQ_AMIHUD,0.018,0.221,1.252,0.081,0.521,236.0
Z_MOM_6_1,0.0203,0.2831,1.139,0.072,0.508,252.0
Z_MOM_3_1,0.018,0.2709,1.053,0.066,0.567,252.0
Z_QUALITY_ROE,0.0139,0.2388,0.925,0.058,0.544,252.0
